SA3,Date,Count_SB_12_14_F,Count_SB_12_14_M,Count_SB_15_17_F,Count_SB_15_17_M,Count_SB_18_21_F,Count_SB_18_21_M,Count_SB_22_25_F,Count_SB_22_25_M,Count_SO_12_14_F,Count_SO_12_14_M,Count_SO_15_17_F,Count_SO_15_17_M,Count_SO_18_21_F,Count_SO_18_21_M,Count_SO_22_25_F,Count_SO_22_25_M,Count_PB_12_14_F,Count_PB_12_14_M,Count_PB_15_17_F,Count_PB_15_17_M,Count_PB_18_21_F,Count_PB_18_21_M,Count_PB_22_25_F,Count_PB_22_25_M,Count_PO_12_14_F,Count_PO_12_14_M,Count_PO_15_17_F,Count_PO_15_17_M,Count_PO_18_21_F,Count_PO_18_21_M,Count_PO_22_25_F,Count_PO_22_25_M,ASGS_2011,ERP_12_14_F,ERP_15_17_F,ERP_18_21_F,ERP_22_25_F,ERP_12_14_M,ERP_15_17_M,ERP_18_21_M,ERP_22_25_M,IRSAD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adelaide City,2007q1,0,0,NA,NA,42,34,31,18,NA,NA,26,28,133,64,80,53,NA,NA,13,17,44,23,36,15,0,0,NA,NA,32,14,25,12,40101,89,397,1023,1361,93,361,981,1391,1047.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adelaide City,2007q2,0,0,NA,0,70,46,50,20,56,66,63,59,221,88,148,58,16,16,21,24,83,31,60,26,0,0,NA,0,49,19,33,15,40101,91,401,1031,1374,94,364,993,1408,1047.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adelaide City,2007q3,NA,0,NA,NA,53,25,44,26,53,86,64,47,239,63,166,50,22,30,26,23,87,25,67,19,NA,0,NA,NA,42,19,31,15,40101,94,403,1038,1385,96,367,1004,1424,1047.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adelaide City,2007q4,0,0,NA,NA,50,30,69,NA,56,97,73,51,239,92,140,59,19,36,30,23,101,36,51,24,0,0,NA,NA,38,18,41,NA,40101,97,406,1045,1397,96,370,1014,1440,1047.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adelaide City,2008q1,NA,0,NA,0,44,NA,32,19,61,86,47,61,223,99,185,61,17,29,21,26,92,37,67,28,NA,0,NA,0,32,NA,23,13,40101,99,409,1054,1410,97,373,1026,1457,1047.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adelaide City,2008q2,0,NA,8,NA,74,35,55,31,63,99,96,78,299,139,249,102,21,30,36,28,119,47,90,43,0,NA,7,NA,49,28,39,19,40101,100,412,1064,1426,97,376,1039,1477,1047.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adelaide City,2008q3,NA,NA,NA,NA,75,23,60,40,59,100,107,82,427,136,304,148,22,39,39,33,153,57,114,54,NA,NA,NA,NA,50,14,41,28,40101,100,417,1075,1442,96,379,1053,1498,1047.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adelaide City,2008q4,NA,NA,NA,NA,63,33,50,21,48,159,126,84,429,132,312,130,24,47,43,41,157,52,109,52,NA,NA,NA,NA,46,20,44,15,40101,99,421,1086,1459,96,382,1068,1520,1047.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adelaide City,2009q1,NA,0,12,NA,61,39,40,22,74,218,126,112,376,125,334,126,27,54,39,39,157,51,126,44,NA,0,10,NA,49,20,35,15,40101,100,425,1096,1473,96,385,1082,1541,1047.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adelaide City,2009q2,0,NA,11,3,66,34,48,20,102,196,151,105,516,192,393,130,35,65,57,44,182,69,139,58,0,NA,8,5,56,25,40,17,40101,101,427,1103,1486,96,387,1095,1561,1047.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adelaide City,2009q3,0,NA,12,NA,59,46,37,31,106,287,179,150,507,194,368,175,42,87,64,58,204,77,127,64,0,NA,8,NA,51,29,34,18,40101,103,429,1110,1498,97,389,1107,1579,1047.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adelaide City,2009q4,0,NA,9,NA,48,35,37,23,137,251,166,106,447,199,349,139,41,84,62,51,170,73,133,61,0,NA,7,NA,39,24,33,19,40101,104,430,1119,1513,97,390,1117,1596,1047.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adelaide City,2010q1,NA,NA,NA,NA,38,37,47,35,151,207,121,124,394,185,329,96,56,74,45,54,142,76,132,41,NA,NA,NA,NA,32,30,39,29,40101,103,433,1132,1535,98,391,1126,1612,1047.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adelaide City,2010q2,NA,NA,14,NA,73,37,58,44,176,240,124,119,503,240,403,168,66,74,47,54,198,97,156,60,NA,NA,12,NA,58,29,49,36,40101,100,436,1151,1564,98,390,1133,1629,1047.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adelaide City,2010q3,NA,NA,14,NA,76,39,36,39,157,281,173,124,616,342,411,199,61,101,61,61,242,127,152,75,NA,NA,10,NA,64,34,30,30,40101,96,441,1173,1598,98,390,1140,1644,1047.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adelaide City,2010q4,NA,NA,13,NA,53,40,54,34,132,281,198,123,558,289,393,146,49,102,69,56,219,114,147,63,NA,NA,9,NA,46,25,50,28,40101,92,445,1195,1631,98,390,1147,1658,1047.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adelaide City,2011q1,NA,NA,14,NA,68,45,50,32,106,218,176,103,523,277,321,127,43,86,59,49,210,105,131,58,NA,NA,12,NA,56,30,46,26,40101,89,451,1213,1657,98,392,1154,1669,1047.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adelaide City,2011q2,NA,NA,18,NA,110,48,75,37,145,264,234,186,698,336,374,136,47,94,92,66,253,123,154,63,NA,NA,16,NA,78,38,60,25,40101,88,455,1225,1673,98,396,1161,1679,1047.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adelaide City,2011q3,NA,NA,27,NA,92,48,71,33,143,267,323,147,759,412,504,153,55,97,119,64,285,157,190,67,NA,NA,25,NA,65,38,55,24,40101,89,460,1233,1680,98,402,1169,1686,1047.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adelaide City,2011q4,NA,0,21,2,63,40,63,35,116,180,256,106,659,265,410,161,56,88,111,63,269,125,177,73,NA,0,14,4,50,31,50,27,40101,92,465,1238,1683,98,408,1178,1692,1047.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adelaide City,2012q1,0,NA,14,NA,75,36,65,30,150,164,223,154,694,283,456,166,59,59,89,65,253,117,159,75,0,NA,11,NA,63,27,49,25,40101,95,469,1242,1686,98,415,1186,1698,1047.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adelaide City,2012q2,NA,NA,12,3,98,53,64,42,121,214,273,185,742,325,413,187,50,88,106,80,288,133,166,84,NA,NA,11,5,75,38,55,26,40101,98,474,1248,1691,98,420,1194,1704,1047.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adelaide City,2012q3,NA,8,11,NA,106,54,56,33,162,278,297,182,788,294,408,197,69,108,112,80,292,125,167,82,NA,4,8,NA,81,41,45,27,40101,100,479,1256,1699,98,426,1202,1711,1047.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adelaide City,2012q4,NA,NA,21,2,83,36,58,26,142,259,275,185,664,337,388,156,63,112,125,80,262,141,159,82,NA,NA,17,5,68,22,48,22,40101,102,484,1264,1708,99,431,1210,1718,1047.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adelaide City,2013q1,NA,NA,19,4,85,51,43,37,160,225,252,210,714,301,368,121,68,89,102,85,283,118,146,63,NA,NA,18,5,72,40,43,28,40101,104,489,1273,1718,99,436,1218,1725,1047.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adelaide City,2013q2,NA,NA,23,NA,110,39,62,45,172,271,289,220,900,348,444,191,74,105,120,93,328,143,168,84,NA,NA,14,NA,91,27,52,33,40101,105,495,1281,1726,99,441,1225,1732,1047.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adelaide City,2013q3,NA,NA,19,4,90,51,60,28,165,245,275,210,796,326,405,193,72,111,119,98,330,154,173,89,NA,NA,16,4,80,36,54,26,40101,105,501,1290,1734,99,446,1233,1738,1047.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adelaide City,2013q4,NA,NA,12,NA,79,38,40,30,161,198,272,148,543,302,298,182,64,85,105,72,250,137,131,88,NA,NA,11,NA,71,33,35,23,40101,106,508,1298,1742,99,451,1240,1744,1047.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adelaide City,2014q1,NA,NA,19,NA,96,41,55,32,154,181,278,144,625,287,340,177,61,88,101,67,255,121,143,79,NA,NA,16,NA,74,32,49,25,40101,106,514,1308,1751,99,456,1248,1751,1047.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
